symbol,oversold_score,reversal_signals,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,st_way,Supertrend,kama,CPrice,change,scan_time
SKBNK.IS,5,0,25.97447823202289,0.0324371279439109,39.09953120480043,24.982494896516755,32.7723384636679,23.968495922545728,-173.5768539447323,-18.7499994521632,-0.1717675522537672,0.1786802573218804,4.580111640462044,4.450000127156575,-1,4.985450893895098,4.887442556090372,4.42,-6.7510548523206815,2025-06-02 23:30:20.886030
GOKNR.IS,5,0,18.23526660391721,-0.0623665932048357,20.88535754824065,26.375710733800517,33.53384783845888,16.771311303576045,-188.0516208021033,-13.899326244521657,-0.1936007653325039,0.9789065333944548,23.69075053990733,23.019999821980797,-1,25.88681862158191,24.2680673264976,22.92,-5.210918114143914,2025-06-02 23:30:20.886030
PETUN.IS,5,0,12.714508071634494,-0.0833110538565217,16.395465531985412,25.575183462420878,36.9252641982336,17.68732948023741,-174.34772660748476,-11.029413237880425,-0.2474111464488592,0.3022210284094359,8.715466662788003,8.583333333333334,-1,9.527993193856082,8.91832849155652,8.47,-4.7244094488189,2025-06-02 23:30:20.886030
ULKER.IS,5,0,14.144758923199266,0.1048984369005746,6.516853932584267,25.25634502653679,37.46483614115378,16.996079967471015,-138.6805549121977,-10.365333274908288,-0.1675417705342642,3.207901574878699,107.02220967817016,105.43333435058594,-1,114.46380756854984,112.1509853844004,105.5,-2.405180388529138,2025-06-02 23:30:20.886030
SNICA.IS,5,0,14.33858339299799,0.1348125985354336,3.0549898167006093,27.472031055206106,37.88136775216043,16.593117923998005,-118.24787222447816,-10.38646961850377,-0.3764782628512922,0.1367620404032297,3.771257616443518,3.733333349227905,1,3.6476652660101054,3.8977503219535863,3.71,-1.066666666666671,2025-06-02 23:30:20.886030
MERIT.IS,5,0,12.999521669141595,0.1128500062485612,3.2256490475068835,14.622255998158469,40.48716587290495,12.985624809679717,-128.04531642617383,-6.26525229031212,-0.2272608276299063,0.4305190794389413,11.718864157523877,11.633333524068195,-1,12.930851989283989,12.1862733067464,11.52,-2.2071307300509324,2025-06-02 23:30:20.886030
EYGYO.IS,4,2,20.419056050139297,0.1746419287377801,16.035898100931334,30.00341525455656,32.262884188955816,15.776413311911144,-123.30554069490364,-9.28269201750415,-0.4247711966833179,0.0883526804464275,2.157687714810787,2.133333365122477,-1,2.3840048995775183,2.216745137024331,2.15,0.938967136150226,2025-06-02 23:30:20.886030
KONYA.IS,4,2,16.110165359101316,0.0994278910428543,3.872579637726421,35.56702879686645,33.623827031453246,25.53327458990171,-125.32253665904436,-10.198789974070872,-0.5376516541506435,199.2904243835912,5256.447768762678,5211.666666666667,-1,5782.832426739909,5469.78249926345,5195.0,-1.7958412098298626,2025-06-02 23:30:20.886030
TMPOL.IS,4,2,43.46111767296602,0.2393132922248874,22.41918665276329,28.98281002043642,36.73659688354631,15.330458706582396,-104.11722636027766,-9.98719023656301,-0.2080632626734907,3.745181201230405,71.37779102751014,70.06666819254558,-1,79.74565238562752,74.7477371892235,70.3,-0.7062146892655385,2025-06-02 23:30:20.886030
MERKO.IS,4,2,20.46865472118312,-0.0056916183684022,35.27093596059113,33.04111849213531,36.93607693363997,11.770568421028551,-149.12962761478468,-11.849896555527923,-0.379726089230131,0.8671475419994156,13.926359004471411,13.630000114440918,-1,16.228938987702744,14.875412336433484,13.39,-4.288777698355961,2025-06-02 23:30:20.886030
SEYKM.IS,4,2,9.910367491922344,0.0404954472867507,1.5645371577574925,31.561312543868844,37.27640397121022,18.049827349603746,-111.62352422332565,-7.491857461721198,0.2171263875905896,0.103779918162738,2.8773731945977974,2.873333295186361,1,2.811424946886507,2.950524994458001,2.84,2.52707581227436,2025-06-02 23:30:20.886030
TURSG.IS,4,2,12.2486787851196,0.1742428499804593,59.04872389791183,42.01689368839526,39.46897179663053,24.436840487555,-110.95969358558652,-5.729165114462437,-0.3891232308825612,0.5581561299606298,16.382272383745978,16.323333740234375,-1,17.61920499354008,17.022556492012537,16.29,-1.2128562765312267,2025-06-02 23:30:20.886030
ERSU.IS,4,2,10.140110763660308,0.1462271890146362,10.864485981308407,26.52253870316491,41.02039684271137,17.01673409441251,-122.93654089279217,-8.091022488388322,-0.1277824081919973,0.6568869591140656,14.628813364442898,14.550000190734863,-1,16.36511169876812,15.253438466018247,14.54,-1.690331304935766,2025-06-02 23:30:20.886030
TUREX.IS,4,1,159.68399698951686,0.1644907877551099,17.113538563389604,53.26060458488172,21.200756465960573,54.82117290463325,-98.78379032144215,-57.51903506072231,-0.2385538512060562,2.40046883236919,15.677819700802074,13.80666700998942,-1,21.51926722245672,17.09012527251002,13.39,-18.94673123486682,2025-06-02 23:30:20.886030
JANTS.IS,4,1,12.543379060608034,-0.0154657012684649,0.2293577981651327,49.576370407399885,30.1258469580956,10.890381290680338,-180.58458547418337,-9.074241842019784,-0.4308037339908852,0.782038934207358,20.14924972487753,19.99333318074544,-1,22.40835487923262,21.28310480555553,19.84,-0.9980039920159612,2025-06-02 23:30:20.886030
