,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
251,KONKA.IS,0.04619886332322122,0.1698610987219551,0.12366223539873387,7.8785021974442655,0.7469762558770862,16.510454217736115,46.398814848771,41144516.0,50.605541212848635,-41296112.567257,18.075153624736554,24.468973874221426,3.202421214973068,-0.09509393304864297,1.6399186791785503,33.51912730218914,33.7466672261556,34.16,1.7272185824895647
252,KONTR.IS,0.006864485061856003,0.04053844456738376,0.033673959505527755,11.758327004634216,0.18530308969921142,4.570154682307439,42.487795083079156,19986228.0,39.475655269776,-1046235424.4038117,26.35496475569216,-135.93553783623852,-3.0539794567172063,-0.15505967485129082,1.4301582957992252,27.459208616136777,27.20666631062825,27.3,-0.36496350364962904
253,KONYA.IS,21.663991257944538,83.67080232687961,62.00681106893507,19.519521580631245,0.9896698582093371,21.096345514950166,79.00404237478635,452885.0,65.01689987001151,-921994.3687893508,20.662001034120426,145.20094274452444,16.743755781683625,-0.21598162510818533,287.17336967387,6188.372210953346,6368.333333333333,6310.0,-2.170542635658912
254,KOPOL.IS,0.02204811801677911,0.080476087335587,0.05842796931880789,18.14698921223453,0.886251295676313,34.37500000000001,79.86679572980346,711969517.0,57.15677485981822,-972640846.6571697,20.328272958528757,110.37257832105986,12.955462734259523,-0.19691198885458175,0.26548768599121714,5.54164301744581,5.589999993642171,5.58,-0.7117437722419906
255,KORDS.IS,0.0277875766675644,0.21057841873791971,0.1827908420703553,10.784846070107239,0.6236516386289592,12.7858627858628,41.279085870988546,3774768.0,49.14588804127114,-31737856.26253767,21.063683943793322,46.72669587036879,0.3418816460503472,-0.2007070132799017,2.410775565810484,58.139300932507,59.016666412353516,58.7,-2.6533996683250294
256,KRDMA.IS,0.501524819152753,0.7607648602227096,0.2592400410699566,23.82891144289351,1.2229476318969696,1767.6470588235304,70.1925888231319,179109800.0,69.04686137444192,55671683.0613938,18.02758665008223,260.44474505240186,24.797517998598188,-0.0121064805990808,1.606883909929663,37.73168417406372,39.333334604899086,40.06,5.14435695538058
257,KRDMB.IS,0.1565708544366826,0.02420955183778417,-0.13236130259889842,19.750817305567427,0.41420766813174387,109.12052117263842,44.783708394209604,115358654.0,43.21893782477551,-40368184.568137415,38.026526148177545,-31.017396426720982,0.5429815828663134,-0.29446918060537414,0.8793806260701144,21.903488859443588,22.1999994913737,22.22,0.3613369467027949
258,KRDMD.IS,0.1530638635395189,-0.1922393291496831,-0.345303192689202,30.477243823521977,0.2681262644285985,26.875000000000014,27.603775892629674,2279227220.0,36.07503400496399,-506786602.2328071,39.66318567668894,-80.99336359569774,-4.527719425302922,-0.24316463003056998,1.0969902589468843,24.23405647277832,24.293333053588867,24.46,0.6584362139917754
259,KRGYO.IS,0.028987087588220023,0.03825486587134419,0.009267778283124169,15.845091742732773,1.1192595117588127,3864.34782608695,55.42356889055681,373114895.0,63.676377224815184,157977796.8673344,21.26940288629082,142.90115015019995,7.324833534103536,-0.005119949174427073,0.7188720908139806,12.824685411085705,13.046666463216146,13.48,8.36012861736335
260,KRONT.IS,0.04351241993032599,0.11355753286116377,0.07004511293083777,13.869972463201426,0.46705185498917123,9.452736318407974,62.96225103950675,13065903.0,44.43602034569066,-27686170.435097158,26.5798090523591,-20.675363874278972,0.06250143051147461,-0.2514624281325522,0.9968966236733623,15.805811549296969,16.043333371480305,16.01,1.32911392405064
261,KRPLS.IS,-0.005741841764782495,-0.004898521960337382,0.0008433198044451137,4.845730815631759,0.15043668510360658,10.632911392405063,43.65422775060685,30615127.0,41.229388035280735,-60330561.88569596,16.327981649286325,-127.56898245023498,-1.6641472207644183,-0.19206714074500247,0.2210099575707197,6.507251527198188,6.486666679382324,6.5,-0.1536098310291778
