symbol,price_change_pct,current_price,start_price,current_RSI,rsi_change,current_ADX,adx_change,current_MACD,macd_change,current_MFI,mfi_change,current_Stoch_K,stoch_change,current_BB_B,bb_b_change,YF_pct,trend_direction,BB_potential,BB_downside,period_high,period_low,period_volatility
EGSER.IS,-4.71698403202846,3.0299999713897705,3.180000066757202,32.90577908939538,-10.348710991893611,14.406427925023987,-2.309898446648578,-0.050039392044422204,-0.027705896750760406,45.22017154387137,-29.147878102636867,16.50766120823804,-4.190047331861187,-0.10141467573084229,-0.25130612035535005,15.068478386539866,sideways,9.851943473716096,0.9071348645709021,3.380000114440918,3.009999990463257,0.06951713781729567
TRCAS.IS,-4.722217843856225,27.440000534057617,28.799999237060547,47.38468669098843,4.655232802301889,20.60017673845934,4.408340334289619,-0.8934924817885133,-0.6634864227525235,54.296151317832916,1.046366987309355,22.83610381805093,-13.455020478781812,0.5173457564883787,0.4143130953033105,18.71227877683312,downtrend,6.287148490203509,-6.7390469172178395,29.780000686645508,25.579999923706055,0.9168112004095057
TSGYO.IS,-4.761911040208133,6.199999809265137,6.510000228881836,38.76971452992596,-0.9498778981118221,12.728970866255349,-2.757370687285267,-0.16076549012415509,0.022484759029794965,31.75237234745893,-32.34450963211171,15.714263656506397,6.812611679908253,0.09760425189793329,-0.07726662424957148,4.8076878990645735,sideways,10.362793924538183,-1.1208527419419911,6.869999885559082,6.130000114440918,0.18262057406536955
SEKFK.IS,-4.787235830152891,7.159999847412109,7.519999980926514,39.08679065101368,-19.491070522903314,12.520718649206115,3.1957416600606656,-0.030631724370582702,0.01712432209659287,27.530191354909913,-17.618019212334584,22.350625231359526,-18.095594498349588,-0.024332212153101867,-0.7611090792295915,16.393429808190266,sideways,6.616576739851143,0.1571716158597969,7.699999809265137,7.039999961853027,0.11862705333160037
DOHOL.IS,-4.928665532565257,14.65999984741211,15.420000076293945,40.37303778828797,-4.170086179227056,13.551656506252572,-2.9346838362945196,-0.20861798412877874,-0.37785568448530427,43.39632740532327,0.28033550854665634,27.154909450749802,16.774604157964447,0.13996729794942236,0.12197756503384866,37.53213134423202,sideways,6.8762502740592035,-1.1190855517345666,15.800000190734863,14.3100004196167,0.30064146692643756
INDES.IS,-4.9707623538466255,6.5,6.840000152587891,37.608504019704576,-7.7526339263378645,21.538401105017453,-22.18297313491723,-0.08234134622620548,0.14493782416110434,49.82739905401892,13.276142116491648,3.392630083827365,-40.7794321962424,0.06562841810989757,-0.45969480606497154,7.079638549031092,downtrend,14.528118288092706,-1.0204263912139577,7.630000114440918,6.449999809265137,0.2592276415202072
KARSN.IS,-5.062088568560396,9.9399995803833,10.470000267028809,36.24489277540581,-10.39608281590413,14.197876425307465,-1.3768579602948687,-0.18407894398550617,0.036914190421676096,38.556860501558184,-12.540455968289244,0.2687977702475093,-19.514405524863914,-0.0022248754398441137,-0.3737220655677154,8.156013018670375,sideways,12.386996929712524,0.027498344850251932,11.239999771118164,9.930000305175781,0.3151123497663334
ATATP.IS,-5.063291139240511,75.0,79.0,33.58280426106135,-6.563512873475091,17.118288295069593,-14.731678539270881,-1.116397999212765,2.003977180911562,47.0247748504514,-2.069714928364803,5.733714444473136,-17.911161868401937,-0.05879499084568793,-0.33773945436346253,1.9963810919531637,sideways,15.802485208487461,0.8775135708094295,90.6500015258789,74.44999694824219,2.8711308385768377
MAKTK.IS,-5.083330472310388,11.390000343322754,12.0,48.01788002405407,-10.247523866017396,21.104784529245343,-7.276810957440695,0.19031083240305868,-0.30888190146978545,59.267502971844664,14.659222255182868,38.836360302511295,6.708053929550701,0.26287198958170893,-0.30832574272769214,66.36828777059135,downtrend,10.425557036161415,-3.7179253560560843,13.0,10.819999694824219,0.41319808237495664
YEOTK.IS,-5.210802224848477,40.02000045776367,42.220001220703125,35.18819284956033,7.225174606148041,21.085633329277236,-19.05921340359737,-1.6960077212131068,1.353580142809875,40.14175939078986,19.159244011803228,5.032779997843204,-2.2944502713788406,0.16272639214425758,0.07798083893208446,3.1250016435105525,downtrend,9.472114735449777,-1.8409311393722705,45.20000076293945,39.34000015258789,1.1612743766626183
HTTBT.IS,-5.219101397416992,38.5,40.619998931884766,31.98655189285008,-4.200493056902211,17.199629856545112,-8.228177563477331,-0.8358387818486577,-0.47532050435356155,55.84666997543754,26.530269217996945,6.90892244539364,-10.141392860648835,-0.0761840513636252,-0.08976290042324146,7.224967537490831,sideways,14.13204661644032,1.0004204800617922,44.29999923706055,37.7599983215332,1.2967535488214785
