,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross,CPrice,change
37,ASELS.IS,78.30422241359774,82.91959525414183,91.8867037915889,96.66812378239602,0.9328786295618635,0.5713219459129399,-0.36155668364892357,12.631015292771583,0.8165410872794115,85.93903638151424,64.16739576962246,1715191459.0,57.846232474635194,610814194.6449132,23.584835858721423,155.99244027508004,3.8151113953149136,-0.152389967620049,5.65419512313357,141.034685014953,144.29999796549478,129.32071377152727,1,135.36242962288284,134.0,127.4000015258789,108.77499961853027,100.625,,Above_Cloud,Bullish,141.5,-5.097250167672696
38,ASGYO.IS,54.26992555298003,62.46622340149755,57.085943691938986,75.24696253441961,-0.002149529584598995,0.024481060988465038,0.026630590573064033,8.28707375184097,0.3194176695997738,17.08542713567839,47.759577668836,35500922.0,47.386497816138565,-154271184.31009558,21.65684946401998,-66.94560641629883,0.2892934744673242,-0.19105030852968483,0.31963831133164206,10.655740239799144,10.416666666666666,10.140895087529486,1,10.590794545578802,10.425000190734863,10.440000057220459,10.567500114440918,11.210000038146973,,Below_Cloud,Bearish,10.4,-0.09606147934677622
39,ASTOR.IS,53.04442760846325,51.62662255981231,54.807695460746174,74.30977416173187,0.012715524138626727,0.1606364873601993,0.14792096322157258,13.840246508698844,0.23702887421630897,41.63483575248282,49.48889699577817,407300219.0,41.06794868481598,-220860353.1192925,15.386034550983078,-135.38332227616834,-2.377179042500926,-0.14384384482501103,3.507067892754765,94.21790107123508,90.81666564941406,100.21067695882543,-1,97.85032994616151,98.8499984741211,104.5,108.5999984741211,112.05000305175781,,Below_Cloud,Bearish,92.4,4.054054054054057
40,ASUZU.IS,30.666184692203174,34.65224146583635,34.93021933805944,50.32782416858322,-0.11911864158453937,-0.19032276010149826,-0.07120411851695889,9.829846103182494,-0.0005953830154474021,4.865424430641825,57.579645576445465,48885104.0,41.410909591028265,-74571166.41567318,20.35579798715066,-213.48696002208058,-5.277044996519466,-0.40161640650651703,2.1138648821141253,55.40549154068829,53.21666590372721,59.30714646793466,-1,56.37253295760223,54.77195645702838,57.21324841181773,57.72084487765875,58.349295214137754,,Below_Cloud,Bearish,53.85,2.57142857142858
41,ATAGY.IS,37.385626097114965,41.91721600588679,42.40241048178271,44.192966705977575,0.020982439624494836,-0.05783953223404403,-0.07882197185853887,20.66660847171063,0.2968720393580208,27.80082987551867,40.53949418499983,-1630851.0,46.49326784947043,-30667294.027608592,21.020155489832977,-79.92256245586128,-9.06040198652279,0.048636467586163655,0.5704652739845811,10.934776851661791,10.65666675567627,12.005470827168562,-1,11.263145548344491,10.315000057220459,10.599999904632568,10.614999771118164,10.614999771118164,,Above_Cloud,Bearish,10.84,1.6885553470919357
42,ATAKP.IS,20.97254867645306,22.50084616106085,13.502355644360108,21.047143520144008,-0.03843167567552341,-0.36456069100614685,-0.32612901533062344,16.197716028164983,0.09400293870610145,26.781857451403894,27.195831917989892,6284842.0,37.7594154338842,4061072.643099649,18.94810632916509,-151.8326318148096,-9.337068127340721,0.038033692868618844,1.5180775524583459,39.6517650186411,38.24000040690104,42.387548210024896,-1,40.65016007037946,40.670000076293945,39.06999969482422,38.34500026702881,41.77000045776367,,No_Data,Bullish,38.84,0.46559751681325423
43,ATATP.IS,48.047457079741825,60.45004592439826,55.102664509502546,69.03740430420974,-0.26405137019625996,0.020018455213670974,0.2840698254099309,16.033077581237155,0.1853348875800948,5.097250167672699,43.38657972243728,7259923.0,42.4676446446763,-28367152.605909903,15.015978196134817,-117.93016784888349,-4.573170731707317,-0.20905863561574908,3.9242508130906613,81.52915821501014,77.73333485921223,75.45872545695163,1,83.01689113138723,79.92499923706055,82.42499923706055,92.25,98.8499984741211,,Below_Cloud,Bearish,78.25,0.3205128205128194
44,ATEKS.IS,38.15259936701543,57.22447920142863,50.00734178916881,67.01782561846666,-0.014226777461540996,0.5351405153622757,0.5493672928238167,24.539943110147004,0.29811226031391563,3.6435786435786417,18.166860064131917,930775.0,39.8635568346231,-1934363.4158253225,22.334927317867024,-73.62899349751693,-1.0996197541499266,-0.02410857319110876,3.148326838220212,78.51429776390958,75.7999979654948,84.08627417717794,-1,76.96788213817467,88.55000305175781,86.0,130.8499984741211,139.5999984741211,,Below_Cloud,Bullish,76.45,2.6174496644295386
45,AVGYO.IS,80.1496709960533,85.07452955440387,81.51128624348632,92.35442732482937,0.05766673325329795,0.08963372176075894,0.03196698850746099,16.691751435092435,0.6902709205112161,34.52188006482982,56.9662856144396,-5216225.0,52.92046448212025,-70381946.9053652,26.463787582253964,196.95665100280962,10.596831687170665,0.03734881326916665,0.5009799357207759,9.259969525598368,9.380000114440918,8.063793469666093,1,8.799275092275483,8.694999933242798,9.200000047683716,8.335000038146973,8.335000038146973,,Above_Cloud,Bearish,9.08,-9.199999999999998
46,AVHOL.IS,18.954781855529205,23.804959747758513,12.70507176386313,22.8384015358494,-0.10379210785061832,-0.6063382192869088,-0.5025461114362905,33.03645262464394,0.12758151245251678,31.842966194111238,38.87878429487698,-9212267.0,42.4327691527509,-91672489.8773237,22.021742907461295,-133.83579699362042,-20.212767700940226,-0.38135149163581783,3.3766751882029826,40.86817464770458,38.74000040690104,48.39224291426429,-1,41.78241667236041,43.130001068115234,41.11000061035156,35.40999984741211,36.07999897003174,,Above_Cloud,Bullish,39.0,4.166666666666674
